state_name,state_code,county_name,county_code,tract_name,tract_code,tot_pop,pop_under5,homeowner_rate,less_than_hs_rate,higher_education_rate,below_poverty_rate,income_cat,majority_white,majority_black,majority_asian,majority_hispanic
 Illinois,17, Adams County,001,Census Tract 1,000100,4509,233,0.8645,0.099,0.2353,0.0976,low,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 2.01,000201,1968,110,0.7971,0.0969,0.268,0.0976,low,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 2.02,000202,2473,85,0.6852,0.0711,0.3152,0.1039,medium,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 4,000400,3428,208,0.5094,0.1127,0.095,0.2095,low,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 5,000500,1985,145,0.4804,0.1022,0.1346,0.2514,low,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 6,000600,4390,308,0.6598,0.0065,0.4187,0.0765,medium,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 7,000700,1136,102,0.085,0.252,0.137,0.3477,low,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 8,000800,2608,111,0.5236,0.1971,0.0803,0.3229,low,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 9,000900,2612,159,0.5145,0.0499,0.2452,0.2209,low,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 10.01,001001,3217,205,0.7962,0.0267,0.2157,0.0855,medium,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 10.02,001002,2851,256,0.7964,0.0261,0.3008,0.1606,medium,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 11,001100,8026,422,0.6504,0.0597,0.4073,0.0868,medium,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 101,010100,4507,258,0.8568,0.059,0.2194,0.0817,medium,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 102,010200,3768,216,0.7519,0.0901,0.1986,0.0913,low,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 103.01,010301,2846,277,0.8661,0.0535,0.2345,0.0892,high,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 103.02,010302,3057,190,0.8779,0.0433,0.1736,0.0628,medium,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 104,010400,3435,147,0.9289,0.0459,0.354,0.0565,medium,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 105,010500,3090,241,0.8056,0.0162,0.3551,0.0282,high,1,0,0,0
 Illinois,17, Adams County,001,Census Tract 106,010600,5677,236,0.8321,0.0366,0.3145,0.1067,medium,1,0,0,0
 Illinois,17, Alexander County,003,Census Tract 9576,957600,1664,59,0.8014,0.1239,0.0952,0.1947,low,1,0,0,0
 Illinois,17, Alexander County,003,Census Tract 9577,957700,1717,128,0.8601,0.0893,0.0806,0.1706,low,1,0,0,0
 Illinois,17, Alexander County,003,Census Tract 9578,957800,1198,65,0.8343,0.1971,0.1743,0.3114,low,0,1,0,0
 Illinois,17, Alexander County,003,Census Tract 9579,957900,682,5,0.5142,0.1697,0.0632,0.1657,low,0,1,0,0
 Illinois,17, Bond County,005,Census Tract 9512,951200,2873,118,0.776,0.0602,0.203,0.1131,medium,1,0,0,0
 Illinois,17, Bond County,005,Census Tract 9513,951300,6931,154,0.5577,0.1576,0.234,0.1368,low,1,0,0,0
 Illinois,17, Bond County,005,Census Tract 9514,951400,2886,179,0.829,0.0907,0.1947,0.1351,low,1,0,0,0
 Illinois,17, Bond County,005,Census Tract 9515,951500,4060,193,0.842,0.0845,0.1878,0.1291,medium,1,0,0,0
 Illinois,17, Boone County,007,Census Tract 101.01,010101,4487,154,0.7432,0.2585,0.1625,0.1908,medium,1,0,0,0
 Illinois,17, Boone County,007,Census Tract 101.02,010102,4095,354,0.481,0.3238,0.0682,0.1927,low,1,0,0,0
 Illinois,17, Boone County,007,Census Tract 102,010200,5664,449,0.7466,0.1591,0.1425,0.1188,low,1,0,0,0
 Illinois,17, Boone County,007,Census Tract 103,010300,6577,167,0.7459,0.2212,0.0649,0.1349,medium,1,0,0,0
 Illinois,17, Boone County,007,Census Tract 104,010400,7019,316,0.9372,0.1588,0.1809,0.1023,medium,1,0,0,0
 Illinois,17, Boone County,007,Census Tract 105.01,010501,4988,131,0.9707,0.0221,0.5609,0.0112,high,1,0,0,0
 Illinois,17, Boone County,007,Census Tract 105.02,010502,4998,205,0.9868,0.0348,0.2413,0.0536,medium,1,0,0,0
 Illinois,17, Boone County,007,Census Tract 106.01,010601,3637,311,0.837,0.0859,0.2899,0.0707,high,1,0,0,0
 Illinois,17, Boone County,007,Census Tract 106.03,010603,6540,489,0.9757,0.0376,0.4752,0.0511,high,1,0,0,0
 Illinois,17, Boone County,007,Census Tract 106.04,010604,5454,207,0.934,0.0528,0.2718,0.0572,medium,1,0,0,0
 Illinois,17, Brown County,009,Census Tract 9704,970400,2280,125,0.878,0.0734,0.1542,0.0877,medium,1,0,0,0
 Illinois,17, Brown County,009,Census Tract 9705,970500,4054,172,0.5512,0.2642,0.1328,0.0654,low,1,0,0,0
 Illinois,17, Bureau County,011,Census Tract 9647,964700,2803,105,0.8279,0.0963,0.1602,0.0888,medium,1,0,0,0
 Illinois,17, Bureau County,011,Census Tract 9648,964800,2988,179,0.7567,0.0867,0.2272,0.1623,medium,1,0,0,0
 Illinois,17, Bureau County,011,Census Tract 9649,964900,2758,214,0.7523,0.116,0.2075,0.2469,low,1,0,0,0
 Illinois,17, Bureau County,011,Census Tract 9650,965000,3846,208,0.8043,0.166,0.1425,0.1472,medium,1,0,0,0
 Illinois,17, Bureau County,011,Census Tract 9651,965100,4101,219,0.7033,0.0903,0.1564,0.1192,medium,1,0,0,0
 Illinois,17, Bureau County,011,Census Tract 9652,965200,3592,157,0.6816,0.1443,0.2023,0.0852,low,1,0,0,0
 Illinois,17, Bureau County,011,Census Tract 9653,965300,3256,94,0.8036,0.0756,0.2744,0.0974,medium,1,0,0,0
 Illinois,17, Bureau County,011,Census Tract 9654,965400,3433,158,0.6913,0.0403,0.3456,0.1075,low,1,0,0,0
 Illinois,17, Bureau County,011,Census Tract 9655,965500,3588,171,0.7936,0.0723,0.243,0.0842,medium,1,0,0,0
 Illinois,17, Bureau County,011,Census Tract 9656,965600,2838,144,0.8332,0.0807,0.1721,0.1283,medium,1,0,0,0
 Illinois,17, Calhoun County,013,Census Tract 9512,951200,2216,122,0.8247,0.1226,0.1354,0.1227,medium,1,0,0,0
 Illinois,17, Calhoun County,013,Census Tract 9513,951300,2256,83,0.9474,0.0367,0.2554,0.0408,high,1,0,0,0
 Illinois,17, Carroll County,015,Census Tract 9601,960100,3463,210,0.8637,0.0464,0.2053,0.1118,medium,1,0,0,0
 Illinois,17, Carroll County,015,Census Tract 9602,960200,2131,163,0.8369,0.1221,0.172,0.122,low,1,0,0,0
 Illinois,17, Carroll County,015,Census Tract 9603,960300,3092,92,0.573,0.1865,0.1382,0.0821,low,1,0,0,0
 Illinois,17, Carroll County,015,Census Tract 9604,960400,1978,109,0.759,0.0845,0.2739,0.138,low,1,0,0,0
 Illinois,17, Carroll County,015,Census Tract 9605,960500,2492,89,0.8219,0.0614,0.2324,0.0923,medium,1,0,0,0
 Illinois,17, Carroll County,015,Census Tract 9606,960600,2438,50,0.8398,0.1796,0.1348,0.0972,medium,1,0,0,0
 Illinois,17, Cass County,017,Census Tract 9601,960100,2101,164,0.8462,0.1076,0.1826,0.1047,low,1,0,0,0
 Illinois,17, Cass County,017,Census Tract 9602,960200,2623,127,0.7486,0.075,0.2228,0.1079,low,1,0,0,0
 Illinois,17, Cass County,017,Census Tract 9603,960300,2632,70,0.837,0.1177,0.2452,0.0672,medium,1,0,0,0
 Illinois,17, Cass County,017,Census Tract 9604,960400,2877,218,0.6707,0.1493,0.2028,0.2051,low,1,0,0,0
 Illinois,17, Cass County,017,Census Tract 9605,960500,2722,96,0.7479,0.2594,0.0824,0.1128,medium,1,0,0,1
 Illinois,17, Champaign County,019,Census Tract 2,000200,2210,230,0.4043,0.1337,0.195,0.4023,low,0,1,0,0
 Illinois,17, Champaign County,019,Census Tract 3.01,000301,6003,0,0.0,0.0676,0.7081,0.8214,low,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 3.02,000302,2539,0,0.0,0.0255,0.7496,0.6321,low,0,0,1,0
 Illinois,17, Champaign County,019,Census Tract 4.01,000401,4554,0,0.0,0.0,0.8244,0.2435,,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 4.02,000402,3377,0,0.0,0.0,0.8753,0.621,low,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 5,000500,3682,272,0.3768,0.0185,0.6616,0.1912,low,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 7,000700,3732,361,0.5145,0.3031,0.1189,0.287,low,0,0,0,0
 Illinois,17, Champaign County,019,Census Tract 8,000800,6735,638,0.2765,0.0665,0.5511,0.1174,medium,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 9.01,000901,4781,381,0.4306,0.1703,0.1491,0.1893,low,0,1,0,0
 Illinois,17, Champaign County,019,Census Tract 9.02,000902,7473,634,0.6876,0.0801,0.3696,0.0913,medium,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 10,001000,4423,143,0.5512,0.0182,0.4661,0.1913,medium,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 11,001100,3741,292,0.7284,0.0099,0.6728,0.0476,high,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 12.01,001201,7305,436,0.4837,0.0796,0.3535,0.1884,low,0,0,0,0
 Illinois,17, Champaign County,019,Census Tract 12.03,001203,4252,245,0.7947,0.0427,0.491,0.0183,medium,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 12.04,001204,3704,171,0.7883,0.0246,0.7384,0.04,high,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 12.05,001205,8362,411,0.6435,0.0682,0.6595,0.1121,high,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 12.06,001206,1837,63,0.8301,0.0193,0.6595,0.0468,high,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 13.01,001301,5831,366,0.6395,0.0153,0.6159,0.0695,medium,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 13.02,001302,4367,87,0.7623,0.0257,0.625,0.0499,high,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 14,001400,6873,387,0.4429,0.0464,0.6687,0.095,medium,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 53,005300,4585,200,0.1328,0.106,0.3968,0.4427,low,0,1,0,0
 Illinois,17, Champaign County,019,Census Tract 54.01,005401,4165,303,0.3064,0.0546,0.3662,0.2,low,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 54.02,005402,3821,168,0.7187,0.1161,0.2438,0.2049,medium,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 55,005500,4682,49,0.5084,0.0854,0.4408,0.2012,low,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 56.01,005601,5631,363,0.5072,0.044,0.4867,0.1163,low,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 56.02,005602,2294,8,0.3256,0.0408,0.584,0.1613,low,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 57.01,005701,5105,465,0.4932,0.0133,0.5226,0.1926,low,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 57.02,005702,1641,121,0.8003,0.0106,0.6833,0.0183,high,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 58,005800,4047,134,0.5022,0.0062,0.8469,0.3519,low,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 59.01,005901,2463,0,0.0469,0.2486,0.7127,0.2521,low,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 59.02,005902,2686,0,0.0,0.0,0.7685,0.2398,low,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 60,006000,3029,118,0.021,0.0,0.9089,0.1122,low,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 101,010100,4171,368,0.525,0.1315,0.1402,0.0734,low,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 102.04,010204,4663,253,0.7173,0.1062,0.1189,0.2456,low,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 103,010300,3813,368,0.2153,0.0492,0.0995,0.2811,low,0,0,0,0
 Illinois,17, Champaign County,019,Census Tract 104,010400,4360,238,0.8248,0.0492,0.2053,0.0709,medium,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 105,010500,4474,204,0.8813,0.0158,0.3561,0.0313,high,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 106.01,010601,6274,392,0.9003,0.0137,0.5287,0.0225,high,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 106.03,010603,7532,530,0.8079,0.0107,0.5198,0.0584,high,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 106.04,010604,2672,205,0.7552,0.0617,0.293,0.0928,high,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 107.01,010701,3969,192,0.861,0.0008,0.3609,0.065,high,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 107.02,010702,3981,208,0.8588,0.0121,0.2977,0.0608,high,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 108,010800,4165,220,0.8694,0.0393,0.268,0.0864,high,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 109.01,010901,6370,366,0.7511,0.0298,0.3299,0.0543,high,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 109.02,010902,3800,52,0.7751,0.0351,0.3402,0.045,medium,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 110.01,011001,2070,10,0.2058,0.0334,0.5525,0.0932,low,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 110.02,011002,2175,157,0.4462,0.0491,0.7448,0.0805,high,1,0,0,0
 Illinois,17, Champaign County,019,Census Tract 111,011100,2106,0,0.0227,0.026,0.7187,0.5133,low,1,0,0,0
 Illinois,17, Christian County,021,Census Tract 9581,958100,2763,151,0.8767,0.0409,0.1664,0.1093,medium,1,0,0,0
 Illinois,17, Christian County,021,Census Tract 9582,958200,3238,95,0.7598,0.09,0.0888,0.0896,medium,1,0,0,0
 Illinois,17, Christian County,021,Census Tract 9583,958300,3895,342,0.6804,0.0386,0.1881,0.17,low,1,0,0,0
 Illinois,17, Christian County,021,Census Tract 9584,958400,3933,207,0.774,0.0745,0.1479,0.1991,low,1,0,0,0
 Illinois,17, Christian County,021,Census Tract 9585,958500,2272,324,0.5992,0.1304,0.1926,0.121,low,1,0,0,0
 Illinois,17, Christian County,021,Census Tract 9586,958600,2245,122,0.7433,0.1317,0.2648,0.0775,medium,1,0,0,0
 Illinois,17, Christian County,021,Census Tract 9587,958700,5493,129,0.8094,0.1445,0.1553,0.0706,low,1,0,0,0
 Illinois,17, Christian County,021,Census Tract 9588,958800,2420,58,0.8047,0.0761,0.2001,0.0897,low,1,0,0,0
 Illinois,17, Christian County,021,Census Tract 9589,958900,2528,135,0.6667,0.1722,0.0788,0.1646,low,1,0,0,0
 Illinois,17, Christian County,021,Census Tract 9590,959000,5106,361,0.8949,0.0798,0.2381,0.0605,medium,1,0,0,0
 Illinois,17, Clark County,023,Census Tract 601,060100,4411,312,0.9044,0.0842,0.3516,0.063,medium,1,0,0,0
 Illinois,17, Clark County,023,Census Tract 602,060200,4210,218,0.7093,0.0446,0.2162,0.0599,medium,1,0,0,0
 Illinois,17, Clark County,023,Census Tract 603,060300,5074,290,0.7799,0.1028,0.1873,0.1322,low,1,0,0,0
 Illinois,17, Clark County,023,Census Tract 604,060400,1772,70,0.9168,0.0715,0.2112,0.0959,medium,1,0,0,0
 Illinois,17, Clay County,025,Census Tract 9719,971900,2353,131,0.8719,0.1093,0.1451,0.1428,medium,1,0,0,0
 Illinois,17, Clay County,025,Census Tract 9720,972000,2862,267,0.7413,0.1545,0.1016,0.2184,low,1,0,0,0
 Illinois,17, Clay County,025,Census Tract 9721,972100,4961,95,0.7002,0.1178,0.1652,0.1357,low,1,0,0,0
 Illinois,17, Clay County,025,Census Tract 9722,972200,3072,234,0.8435,0.0902,0.1779,0.1348,medium,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9001,900100,6484,349,0.7864,0.0362,0.3245,0.064,medium,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9002,900200,1826,74,0.918,0.0646,0.1954,0.0197,high,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9003,900300,7031,594,0.7952,0.0717,0.2281,0.0395,medium,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9004.01,900401,1137,25,0.9023,0.0311,0.1698,0.0677,medium,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9004.03,900403,3958,182,0.7133,0.0367,0.244,0.069,medium,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9004.04,900404,1190,76,0.9646,0.0488,0.1739,0.0798,low,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9005,900500,5758,268,0.7828,0.2016,0.1317,0.1191,low,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9006.01,900601,2767,149,0.9175,0.0563,0.2656,0.0553,medium,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9006.02,900602,6847,338,0.7268,0.0731,0.2742,0.0757,high,1,0,0,0
 Illinois,17, Coles County,029,Census Tract 1,000100,2567,62,0.7993,0.0771,0.1738,0.1254,low,1,0,0,0
 Illinois,17, Coles County,029,Census Tract 2,000200,5505,435,0.8533,0.0788,0.3446,0.0957,medium,1,0,0,0
