DETAILS,MALES_UNDER5,FEMALES_UNDER5,TOTPOP,WHITE,BLACK,ASIAN,HISPANIC,BELOW_POVERTY_LINE,MEDIAN_INCOME,TOTAL_OCCUPIED_HOUSES,HOMEOWNER_OCCUPIED_HOUSES,SAME_HOUSE_AS_LAST_YEAR,POP_OVER25,LESS_THAN_HS,BACHELOR_OR_GREATER,STATE,COUNTY,TRACT
Census Tract 1; Adams County; Illinois,112,121,4509,4028,263,60,0,440,61595,2377,2055,3827,3443,341,810,17,001,000100
Census Tract 2.01; Adams County; Illinois,49,61,1968,1777,134,9,32,192,44583,887,707,1857,1455,141,390,17,001,000201
Census Tract 2.02; Adams County; Illinois,54,31,2473,2171,110,35,51,257,66472,991,679,2025,1491,106,470,17,001,000202
Census Tract 4; Adams County; Illinois,145,63,3428,2829,353,0,54,718,42413,1331,678,2761,2441,275,232,17,001,000400
Census Tract 5; Adams County; Illinois,63,82,1985,1727,104,21,241,499,39167,818,393,1577,1360,139,183,17,001,000500
Census Tract 6; Adams County; Illinois,101,207,4390,4006,175,17,61,336,70479,1931,1274,3791,3064,20,1283,17,001,000600
Census Tract 7; Adams County; Illinois,21,81,1136,1022,67,4,61,395,17644,729,62,770,861,217,118,17,001,000700
Census Tract 8; Adams County; Illinois,41,70,2608,2120,350,16,73,842,29577,1102,577,2355,1918,378,154,17,001,000800
Census Tract 9; Adams County; Illinois,11,148,2612,2302,133,16,32,577,43548,1242,639,1939,1623,81,398,17,001,000900
Census Tract 10.01; Adams County; Illinois,129,76,3217,3068,45,0,11,275,64375,1325,1055,2861,2249,60,485,17,001,001001
Census Tract 10.02; Adams County; Illinois,192,64,2851,2511,117,57,28,458,62300,1174,935,2596,1955,51,588,17,001,001002
Census Tract 11; Adams County; Illinois,189,233,8026,6934,569,180,97,697,77200,3332,2167,7431,5625,336,2291,17,001,001100
Census Tract 101; Adams County; Illinois,144,114,4507,4381,10,0,62,368,74432,1788,1532,4157,3067,181,673,17,001,010100
Census Tract 102; Adams County; Illinois,103,113,3768,3628,17,5,96,344,57885,1540,1158,3358,2598,234,516,17,001,010200
Census Tract 103.01; Adams County; Illinois,136,141,2846,2828,0,0,0,254,90781,971,841,2695,1868,100,438,17,001,010301
Census Tract 103.02; Adams County; Illinois,117,73,3057,2833,0,28,167,192,73125,1065,935,2830,1918,83,333,17,001,010302
Census Tract 104; Adams County; Illinois,94,53,3435,3405,0,0,26,194,85995,1279,1188,3255,2418,111,856,17,001,010400
Census Tract 105; Adams County; Illinois,132,109,3090,2993,69,8,20,87,94557,1219,982,2863,2287,37,812,17,001,010500
Census Tract 106; Adams County; Illinois,130,106,5677,5417,62,31,86,606,79040,2389,1988,5027,4016,147,1263,17,001,010600
Census Tract 9576; Alexander County; Illinois,47,12,1664,1338,223,13,33,324,50658,554,444,1494,1219,151,116,17,003,957600
Census Tract 9577; Alexander County; Illinois,67,61,1717,1460,246,0,0,293,52375,529,455,1506,1154,103,93,17,003,957700
Census Tract 9578; Alexander County; Illinois,65,0,1198,338,813,0,16,373,41429,362,302,1119,832,164,145,17,003,957800
Census Tract 9579; Alexander County; Illinois,0,5,682,204,466,0,2,113,24128,282,145,627,554,94,35,17,003,957900
Census Tract 9512; Bond County; Illinois,52,66,2873,2662,63,0,117,325,70946,1250,970,2531,2143,129,435,17,005,951200
Census Tract 9513; Bond County; Illinois,131,23,6931,5534,1125,66,405,948,50734,2333,1301,4877,4683,738,1096,17,005,951300
Census Tract 9514; Bond County; Illinois,72,107,2886,2746,7,3,75,390,57135,1029,853,2690,1962,178,382,17,005,951400
Census Tract 9515; Bond County; Illinois,79,114,4060,3916,0,8,40,524,72500,1608,1354,3713,2711,229,509,17,005,951500
Census Tract 101.01; Boone County; Illinois,95,59,4487,3180,0,0,1549,856,69882,1515,1126,4303,2843,735,462,17,007,010101
Census Tract 101.02; Boone County; Illinois,123,231,4095,2629,221,0,1765,789,47625,1447,696,3919,2582,836,176,17,007,010102
Census Tract 102; Boone County; Illinois,192,257,5664,4086,74,1,2309,673,44630,2384,1780,5272,3683,586,525,17,007,010200
Census Tract 103; Boone County; Illinois,19,148,6577,4658,24,119,2453,887,62944,2830,2111,5965,4810,1064,312,17,007,010300
Census Tract 104; Boone County; Illinois,223,93,7019,6066,113,101,1531,718,69820,2451,2297,6437,4804,763,869,17,007,010400
Census Tract 105.01; Boone County; Illinois,72,59,4988,4279,15,86,293,56,177426,1568,1522,4650,3081,68,1728,17,007,010501
Census Tract 105.02; Boone County; Illinois,123,82,4998,4268,62,185,432,268,82955,1814,1790,4653,3622,126,874,17,007,010502
Census Tract 106.01; Boone County; Illinois,213,98,3637,3279,3,0,559,257,99583,1276,1068,3255,2480,213,719,17,007,010601
Census Tract 106.03; Boone County; Illinois,214,275,6540,5774,62,10,615,334,137284,2058,2008,5807,3931,148,1868,17,007,010603
Census Tract 106.04; Boone County; Illinois,160,47,5454,4200,810,0,1057,312,89781,1681,1570,4768,3448,182,937,17,007,010604
Census Tract 9704; Brown County; Illinois,48,77,2280,2187,0,0,53,200,70455,992,871,2108,1621,119,250,17,009,970400
Census Tract 9705; Brown County; Illinois,105,67,4054,2769,1053,3,386,265,61250,1074,592,3143,2983,788,396,17,009,970500
Census Tract 9647; Bureau County; Illinois,66,39,2803,2671,30,7,91,249,67228,1139,943,2557,2004,193,321,17,011,964700
Census Tract 9648; Bureau County; Illinois,105,74,2988,2943,9,0,51,485,66406,1270,961,2626,2157,187,490,17,011,964800
Census Tract 9649; Bureau County; Illinois,88,126,2758,2484,0,19,92,681,51917,1110,835,2360,1923,223,399,17,011,964900
Census Tract 9650; Bureau County; Illinois,124,84,3846,2874,37,57,1186,566,67278,1446,1163,3587,2687,446,383,17,011,965000
Census Tract 9651; Bureau County; Illinois,84,135,4101,3497,81,0,695,489,67056,1601,1126,3680,2768,250,433,17,011,965100
Census Tract 9652; Bureau County; Illinois,127,30,3592,3113,9,5,794,306,59052,1561,1064,3220,2516,363,509,17,011,965200
Census Tract 9653; Bureau County; Illinois,29,65,3256,2983,2,113,78,317,66033,1319,1060,2743,2369,179,650,17,011,965300
Census Tract 9654; Bureau County; Illinois,85,73,3433,3268,6,45,149,369,58470,1743,1205,3090,2708,109,936,17,011,965400
Census Tract 9655; Bureau County; Illinois,93,78,3588,3485,0,41,106,302,69403,1507,1196,3249,2490,180,605,17,011,965500
Census Tract 9656; Bureau County; Illinois,88,56,2838,2699,30,18,46,364,69718,1205,1004,2544,2045,165,352,17,011,965600
Census Tract 9512; Calhoun County; Illinois,71,51,2216,2087,15,1,30,272,80897,559,461,2126,1639,201,222,17,013,951200
Census Tract 9513; Calhoun County; Illinois,35,48,2256,2168,18,0,6,92,109286,646,612,2216,1633,60,417,17,013,951300
Census Tract 9601; Carroll County; Illinois,77,133,3463,3291,50,35,81,387,78542,1438,1242,3043,2348,109,482,17,015,960100
Census Tract 9602; Carroll County; Illinois,40,123,2131,2076,6,0,58,260,61541,895,749,1990,1564,191,269,17,015,960200
Census Tract 9603; Carroll County; Illinois,73,19,3092,2742,10,17,228,254,50275,1405,805,2978,2359,440,326,17,015,960300
Census Tract 9604; Carroll County; Illinois,81,28,1978,1868,16,28,74,273,57105,830,630,1766,1373,116,376,17,015,960400
Census Tract 9605; Carroll County; Illinois,52,37,2492,2398,1,23,104,230,68148,1050,863,2201,1760,108,409,17,015,960500
Census Tract 9606; Carroll County; Illinois,47,3,2438,1887,450,0,175,237,71438,699,587,2231,2032,365,274,17,015,960600
Census Tract 9601; Cass County; Illinois,63,101,2101,2012,23,0,16,220,60714,930,787,1943,1468,158,268,17,017,960100
Census Tract 9602; Cass County; Illinois,63,64,2623,2540,27,1,32,283,59231,1090,816,2361,1881,141,419,17,017,960200
Census Tract 9603; Cass County; Illinois,22,48,2632,2469,0,0,377,177,71031,1147,960,2268,2047,241,502,17,017,960300
Census Tract 9604; Cass County; Illinois,88,130,2877,1891,223,24,809,590,52209,984,660,2266,1795,268,364,17,017,960400
Census Tract 9605; Cass County; Illinois,25,71,2722,1732,194,73,1402,307,79125,853,638,2423,1542,400,127,17,017,960500
Census Tract 2; Champaign County; Illinois,180,50,2210,310,1346,353,194,889,32054,893,361,1751,1159,155,226,17,019,000200
Census Tract 3.01; Champaign County; Illinois,0,0,6003,3149,155,2341,208,4931,5413,2172,0,3104,651,44,461,17,019,000301
Census Tract 3.02; Champaign County; Illinois,0,0,2539,826,134,1379,204,1605,11922,1697,0,1252,707,18,530,17,019,000302
Census Tract 4.01; Champaign County; Illinois,0,0,4554,3210,121,1069,291,1109,3388,549,0,1704,131,0,108,17,019,000401
Census Tract 4.02; Champaign County; Illinois,0,0,3377,2026,194,868,307,2097,8333,1038,0,1384,361,0,316,17,019,000402
Census Tract 5; Champaign County; Illinois,117,155,3682,2783,469,225,135,704,60794,1831,690,3146,2589,48,1713,17,019,000500
Census Tract 7; Champaign County; Illinois,65,296,3732,1581,1357,77,746,1071,46185,1413,727,3030,2095,635,249,17,019,000700
Census Tract 8; Champaign County; Illinois,305,333,6735,3414,1445,1664,278,791,64760,3016,834,4911,4059,270,2237,17,019,000800
Census Tract 9.01; Champaign County; Illinois,238,143,4781,1432,2746,71,756,905,42380,1923,828,4130,2596,442,387,17,019,000901
Census Tract 9.02; Champaign County; Illinois,312,322,7473,4587,1576,1141,208,682,69533,2926,2012,5912,4767,382,1762,17,019,000902
Census Tract 10; Champaign County; Illinois,81,62,4423,3173,823,24,90,846,62306,2043,1126,3398,3081,56,1436,17,019,001000
Census Tract 11; Champaign County; Illinois,189,103,3741,2994,321,124,206,178,93456,1609,1172,3064,2518,25,1694,17,019,001100
Census Tract 12.01; Champaign County; Illinois,336,100,7305,3252,2538,861,485,1376,52813,3004,1453,6028,4495,358,1589,17,019,001201
Census Tract 12.03; Champaign County; Illinois,104,141,4252,3433,430,198,138,78,86364,1870,1486,3706,3159,135,1551,17,019,001203
Census Tract 12.04; Champaign County; Illinois,104,67,3704,2246,191,950,77,148,135490,1441,1136,3369,2680,66,1979,17,019,001204
Census Tract 12.05; Champaign County; Illinois,228,183,8362,4726,802,2063,576,937,92903,3220,2072,7014,5351,365,3529,17,019,001205
Census Tract 12.06; Champaign County; Illinois,54,9,1837,1616,50,40,146,86,104545,824,684,1633,1448,28,955,17,019,001206
Census Tract 13.01; Champaign County; Illinois,224,142,5831,4653,302,536,220,405,75140,2577,1648,5218,4262,65,2625,17,019,001301
Census Tract 13.02; Champaign County; Illinois,34,53,4367,3617,112,506,80,218,109939,2036,1552,4088,3387,87,2117,17,019,001302
Census Tract 14; Champaign County; Illinois,147,240,6873,4609,515,1274,642,653,67656,1585,702,4648,2629,122,1758,17,019,001400
Census Tract 53; Champaign County; Illinois,88,112,4585,1019,2326,1081,60,2030,25759,2312,307,2977,1792,190,711,17,019,005300
Census Tract 54.01; Champaign County; Illinois,244,59,4165,2349,1471,60,457,833,35721,2213,678,3111,2507,137,918,17,019,005401
Census Tract 54.02; Champaign County; Illinois,72,96,3821,2863,422,164,509,783,63738,1731,1244,3087,2929,340,714,17,019,005402
Census Tract 55; Champaign County; Illinois,28,21,4682,3172,606,350,442,942,58266,2203,1120,3727,3714,317,1637,17,019,005500
Census Tract 56.01; Champaign County; Illinois,151,212,5631,3569,1211,510,483,655,54748,2488,1262,4684,3612,159,1758,17,019,005601
Census Tract 56.02; Champaign County; Illinois,0,8,2294,1510,185,366,146,370,56250,1290,420,1805,1714,70,1001,17,019,005602
