objectid,name,address,city,state,zip,population,county,countyfips,latitude,longitude,naics_desc
3066,small world learning center,1827 n 25,melrose park,il,60160,60,cook,17031,41.9070794,-87.8640481,child day care centers
3574,vandalia 1st united methodist preschool,127 north 4th box 105,vandalia,il,62471,49,fayette,17051,38.96204,-89.095,child day care centers
3615,(pact) for west central illinois,1310 w washington box 222,pittsfield,il,62363,64,pike,17149,39.60465,-90.838462,child day care centers
43539,kindercare learning center 301675,1351 palatine rd,hoffman est,il,60192,159,cook,17031,42.11052,-88.11391,child day care centers
43540,building blocks pre - school,60 akenside road,riverside,il,60546,30,cook,17031,41.82957,-87.81963,child day care centers
43541,bernard weinger jewish community center,300 revere drive,northbrook,il,60062,143,cook,17031,42.14873,-87.80347,child day care centers
43542,s barrington pk dist child care and presch,3 tennis club ln,s barrington,il,60010,40,cook,17031,42.07416,-88.14488,child day care centers
43543,concordia univ early childhood educ c,7400 augusta st,river forest,il,60305,213,cook,17031,41.89778,-87.81072,child day care centers
43544,river forest community center preschool,8020 madison st,river forest,il,60305,125,cook,17031,41.87923,-87.82528,child day care centers
43545,"hillside montessori school, inc",4600 frontage rd,hillside,il,60162,103,cook,17031,41.87355,-87.89693,"child day care, before or after school, separate from schools"
43546,academy for children,2350 bernice rd,lansing,il,60438,137,cook,17031,41.5794,-87.56023,child day care centers
43547,fresh start learning daycare,1200 s 5th ave,maywood,il,60153,59,cook,17031,41.87692,-87.83878,child day care centers
43548,presence behavioral health,330 eastern ave,bellwood,il,60104,48,cook,17031,41.88613,-87.87354,"head start programs, separate from schools"
43549,precious heart day care center,2301 w roosevelt rd,broadview,il,60155,94,cook,17031,41.8642,-87.86073,child day care centers
43550,village children's academy,4321 wilmette ave,rolling mdws,il,60008,90,cook,17031,42.09358,-88.03563,child day care centers
43551,school for little children of evanston,1427 chicago ave,evanston,il,60201,110,cook,17031,42.04341,-87.68045,child day care centers
43552,kindercare learning centers number 301625,5100 sedge blvd,hoffman est,il,60192,131,cook,17031,42.07646,-88.20584,child day care centers
43553,little people's montessori school inc.,7500 skokie blvd,skokie,il,60077,76,cook,17031,42.01718,-87.74783,child day care centers
43554,s7hd / head start cairo,4115 sycamore st,cairo,il,62914,72,alexander,17003,37.01925,-89.18589,"head start programs, separate from schools"
43555,s7hd / headstart - tamms,20023 diswood rd,tamms,il,62988,28,alexander,17003,37.236881,-89.342222,"head start programs, separate from schools"
43556,ill. valley early years learning center,52 poor farm hollow rd,hardin,il,62047,16,calhoun,17013,39.173941,-90.613827,"child day care, before or after school, separate from schools"
43557,st. norbert school children's house,404 w main st,hardin,il,62047,30,calhoun,17013,39.15743,-90.62041,child day care centers
43558,"virginia community day care center, inc.",401 e broadway st,virginia,il,62691,48,cass,17017,39.94139,-90.21218,child day care centers
43559,parent and child together,909 w 12th st,beardstown,il,62618,37,cass,17017,40.00711,-90.43807,child day care centers
43560,erba casey / westfield head start,931 n route 49,casey,il,62420,16,clark,17023,39.312082,-87.987273,"head start programs, separate from schools"
43561,marshall first step academy,1414 archer ave,marshall,il,62441,40,clark,17023,39.39467,-87.68668,child day care centers
43562,jodie's daycare inc,5940 red bud dr,albers,il,62215,60,clinton,17027,38.509051,-89.593671,child day care centers
43563,d's day care,479 memorial dr,breese,il,62230,83,clinton,17027,38.611,-89.51564,child day care centers
43564,our kids daycare,1023 s brookside st,centralia,il,62801,51,clinton,17027,38.51655,-89.14791,child day care centers
43565,"all smiles day care, inc.",348 west r. r. street,aviston,il,62216,111,clinton,17027,38.60819,-89.60964,child day care centers
43566,building blocks daycare llc,13016 commercial st,aviston,il,62216,93,clinton,17027,38.61248,-89.61366,child day care centers
43567,siblings and co early lrng center llc,182 s 4th st,breese,il,62230,92,clinton,17027,38.60303,-89.53359,child day care centers
43568,kindercare learning center 000897,650 w wise rd,schaumburg,il,60193,145,cook,17031,42.00474,-88.09551,child day care centers
43569,kids of the kingdom,1122 w rand rd,arlington hts,il,60004,43,cook,17031,42.12368,-87.99667,child day care centers
43570,harkness house for children,630 lincoln ave,winnetka,il,60093,103,cook,17031,42.10858,-87.7328,child day care centers
43571,little peoples country,211 w hillgrove ave,la grange,il,60525,133,cook,17031,41.8158,-87.87251,child day care centers
43572,t and j child care inc.,1576 burnham ave,calumet city,il,60409,61,cook,17031,41.58736,-87.53983,child day care centers
43573,the alphabet campus preschol,736 ridge rd,homewood,il,60430,179,cook,17031,41.56369,-87.63416,child day care centers
43574,kindercare learning center 301674,12404 archer ave,lemont,il,60439,164,cook,17031,41.66328,-87.96478,child day care centers
43575,under carrey's care childcare center,419 w 144th st,riverdale,il,60827,114,cook,17031,41.63369,-87.63274,child day care centers
43576,small world learning center,2915 maple st,franklin park,il,60131,85,cook,17031,41.93183,-87.85302,child day care centers
43577,the tot spot inc,17600 saint rose rd,breese,il,62230,93,clinton,17027,38.67836,-89.55412,child day care centers
43578,siblings and company llc,8021 state route 160,new baden,il,62265,64,clinton,17027,38.54007,-89.68736,child day care centers
43579,siblings and co learning curve llc,1301 church st,germantown,il,62245,100,clinton,17027,38.55398,-89.54675,child day care centers
43580,breese head start - bcmw community service,25 north main street,breese,il,62230,20,clinton,17027,38.60731,-89.52762,"head start programs, separate from schools"
43581,kaskaskia college children's learning ct,27210 college rd,centralia,il,62801,69,clinton,17027,38.56379,-89.19316,child day care centers
43582,willow walk learning center,417 e broadway,trenton,il,62293,93,clinton,17027,38.60607,-89.6769,child day care centers
43583,"wabash area development, inc. head start",334 industrial dr,albion,il,62806,40,edwards,17047,38.3664,-88.05006,"head start programs, separate from schools"
43585,horizons child care and learning center,1803 janette dr,vandalia,il,62471,70,fayette,17051,38.980114,-89.112885,child day care centers
43586,c.e.f.s. head start 0 - 5 program - vandalia,1902 progress west dr,vandalia,il,62471,44,fayette,17051,38.97293,-89.1166,"head start programs, separate from schools"
43587,bright beginnings preschool / childcare,129 n 8th st,vandalia,il,62471,87,fayette,17051,38.96338,-89.10062,child day care centers
43588,little lambs 2,1805 w fletcher st,vandalia,il,62471,95,fayette,17051,38.9753204,-89.1143479,child day care centers
43589,sunny days child care and learning center,1900 w main st,vandalia,il,62471,36,fayette,17051,38.96199,-89.11607,child day care centers
43590,t.c.o.c. west carroll head start,2215 wacker rd,savanna,il,61074,21,carroll,17015,42.07957,-90.12149,"head start programs, separate from schools"
43591,little sprouts daycare and preschool llc,"200 s school st, ste b",lanark,il,61046,158,carroll,17015,42.10057,-89.82681,child day care centers
43592,cefs head start 0 - 5 program - louisville,211 n. lynn,louisville,il,62858,20,clay,17025,38.77263,-88.50409,"head start programs, separate from schools"
43593,"buckeroo early education center, inc.",826 lamson st,flora,il,62839,91,clay,17025,38.67461,-88.49603,child day care centers
43594,the learning zone,3322 moultrie ave,mattoon,il,61938,102,coles,17029,39.48874,-88.39777,child day care centers
43595,building blocks play and learning center,3601 1/2 marshall ave,mattoon,il,61938,72,coles,17029,39.47779,-88.40115,child day care centers
43596,immanuel lutheran early childhood center,902 cleveland ave,charleston,il,61920,68,coles,17029,39.47854,-88.17139,child day care centers
43597,stepping stones children's center ii llc,240 decker springs rd,charleston,il,61920,77,coles,17029,39.50136,-88.1958,child day care centers
43598,the little school house,616 broadway ave,mattoon,il,61938,51,coles,17029,39.48262,-88.36103,child day care centers
43599,cornerstone christian academy,661 castle dr number b,charleston,il,61920,173,coles,17029,39.5007,-88.19256,child day care centers
43600,erba charleston ii head start,707 windsor rd number a,charleston,il,61920,18,coles,17029,39.50174,-88.19257,"head start programs, separate from schools"
43601,kindercare learning center number 301730,7965 175th st,tinley park,il,60477,160,cook,17031,41.57249,-87.81114,child day care centers
43602,christ the king lutheran preschool,100 w michigan ave,palatine,il,60067,20,cook,17031,42.09772,-88.04642,child day care centers
43603,northwest suburban day care center,1755 howard ave,des plaines,il,60018,36,cook,17031,42.01658,-87.88087,child day care centers
43604,oak lawn day nursery,6343 w 90th pl,oak lawn,il,60453,61,cook,17031,41.72768,-87.77882,child day care centers
43605,palatine park dist preschool - birchwood,435 west illinois avenue,palatine,il,60067,20,cook,17031,42.09581,-88.05427,child day care centers
43606,palatine pk dist preschool - eagle,1475 n oak st,palatine,il,60067,20,cook,17031,42.137961,-88.038702,child day care centers
43607,riverside presbyterian preschool,116 barrypoint road,riverside,il,60546,30,cook,17031,41.82411,-87.82216,child day care centers
43608,mary sear's children's academy,16807 108th ave,orland park,il,60467,159,cook,17031,41.58286,-87.88129,child day care centers
43609,the sandbox pre - school and kindergarten,14311 south 82nd avenue,orland park,il,60462,88,cook,17031,41.63068,-87.81954,child day care centers
