state,state_code,pop_under5
Alabama,01,291856
Alaska,02,48991
Arizona,04,402636
Arkansas,05,181324
California,06,2258308
Colorado,08,317189
Connecticut,09,182768
Delaware,10,53990
District of Columbia,11,41522
Florida,12,1104565
Georgia,13,635299
Hawaii,15,84552
Idaho,16,112576
Illinois,17,721165
Indiana,18,409573
Iowa,19,189797
Kansas,20,180483
Kentucky,21,266553
Louisiana,22,289842
Maine,23,63182
Maryland,24,358539
Massachusetts,25,351208
Michigan,26,552803
Minnesota,27,340546
Mississippi,28,178246
Missouri,29,360175
Montana,30,59003
Nebraska,31,127312
Nevada,32,178103
New Hampshire,33,62919
New Jersey,34,523995
New Mexico,35,115927
New York,36,1121872
North Carolina,37,589767
North Dakota,38,51717
Ohio,39,676403
Oklahoma,40,247466
Oregon,41,215756
Pennsylvania,42,688571
Rhode Island,44,54172
South Carolina,45,283281
South Dakota,46,58085
Tennessee,47,402591
Texas,48,1923422
Utah,49,239517
Vermont,50,28275
Virginia,51,494148
Washington,53,440172
West Virginia,54,90380
Wisconsin,55,321594
Wyoming,56,32789
Puerto Rico,72,112877
