,objectid,name,address,city,state,zip,population,county,countyfips,latitude,longitude,naics_desc,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,GEOID,centroid_lat,centroid_lon,hdistance
2517,46056,SPROUTS ACADEMY,350 W ONTARIO ST FL 1,CHICAGO,IL,60654,72,COOK,17031,41.89332,-87.63763,CHILD DAY CARE CENTERS,POINT (-87.63763 41.89332),1667,17,031,081800,17031081800,41.89326840361561,-87.63780051223728,0.015251538857638561
2305,45844,SMART LEARNING CENTER,2841 S ARCHER AVE,CHICAGO,IL,60608,69,COOK,17031,41.84257,-87.65553,CHILD DAY CARE CENTERS,POINT (-87.65553 41.84257),1443,17,031,600600,17031600600,41.84238527193596,-87.6555817583142,0.021005976590486898
2687,46226,CGH HELPING HANDS DAYCARE,1813 2ND AVE,STERLING,IL,61081,75,WHITESIDE,17195,41.80449,-89.69567,CHILD DAY CARE CENTERS,POINT (-89.69567 41.80449),455,17,195,001101,17195001101,41.80446660835237,-89.6953996424685,0.022583796334586802
2549,46088,TOTS N TALES PRESCHOOL II,5784 S ARCHER AVE,CHICAGO,IL,60638,33,COOK,17031,41.79641,-87.75784,CHILD DAY CARE CENTERS,POINT (-87.75784 41.79641),1360,17,031,560700,17031560700,41.796462648006845,-87.75752018519911,0.027179620330677345
2528,46067,SMART LEARNING CENTER,2980 S ARCHER AVE,CHICAGO,IL,60608,71,COOK,17031,41.84061,-87.66059,CHILD DAY CARE CENTERS,POINT (-87.66059 41.84061),907,17,031,600700,17031600700,41.84083140580563,-87.66074501263894,0.02779666830573177
2442,45981,PRAIRIELAND MONTESSORI,1655 W SCHOOL ST,CHICAGO,IL,60657,38,COOK,17031,41.94127,-87.67091,CHILD DAY CARE CENTERS,POINT (-87.67091 41.94127),1772,17,031,062500,17031062500,41.94148802612662,-87.67110725178321,0.029253024498044025
786,44324,OUR LOVING ARMS CHILDCARE INC NUMBER 3,831 S HALSTED ST,CHICAGO HTS,IL,60411,61,COOK,17031,41.5164,-87.63522,CHILD DAY CARE CENTERS,POINT (-87.63522 41.5164),2708,17,031,828900,17031828900,41.51616310078021,-87.6349516907073,0.03457591154580298
2807,46346,KIDZ CREATIVE CORNER,3811 NORTH LINCOLN AVENUE,CHICAGO,IL,60613,49,COOK,17031,41.95095,-87.67609,CHILD DAY CARE CENTERS,POINT (-87.67609 41.95095),1468,17,031,050600,17031050600,41.95054775751128,-87.67618236992418,0.04542346779483624
2605,46144,LAKEFRONT CHILDREN'S ACADEMY,400 E RANDOLPH ST FL 6B,CHICAGO,IL,60601,58,COOK,17031,41.88458,-87.61733,CHILD DAY CARE CENTERS,POINT (-87.61733 41.88458),319,17,031,320101,17031320101,41.88493065219858,-87.6170157127858,0.04692446518450496
2782,46321,ROSELAND COMMUNITY GOOD NEWS DAY CARE,212 W 113TH ST,CHICAGO,IL,60628,52,COOK,17031,41.6891,-87.62834,CHILD DAY CARE CENTERS,POINT (-87.62834 41.6891),1353,17,031,491300,17031491300,41.688896901011866,-87.62780358662054,0.04999339664367619
